Emergency_Stage,Service,Urgency_Type,Waiting_Time,People_Waiting,Weekday,Month,Season,Day
4.0,Medicina,Urgncia Central,10.811965811965813,0.2905982905982906,4,2,winter,9.0
4.0,Cirurgia,Urgncia Central,23.087719298245613,0.15789473684210525,5,2,winter,
4.0,Medicina,Urgncia Central,49.38793103448276,1.2241379310344827,5,2,winter,10.0
4.0,Medicina,Urgncia Central,23.82089552238806,0.2537313432835821,6,2,winter,11.0
4.0,Cirurgia,Urgncia Central,19.07,0.13,6,2,winter,
4.0,Cirurgia,Urgncia Central,86.01724137931035,0.2413793103448276,0,2,winter,
4.0,Medicina,Urgncia Central,16.232,0.336,0,2,winter,12.0
4.0,Medicina,Urgncia Central,13.86,0.27,1,2,winter,13.0
4.0,Cirurgia,Urgncia Central,51.564516129032256,0.016129032258064516,1,2,winter,
4.0,Cirurgia,Urgncia Central,28.09375,0.140625,2,2,winter,
4.0,Medicina,Urgncia Central,11.224719101123595,0.1797752808988764,2,2,winter,14.0
4.0,Cirurgia,Urgncia Central,54.903225806451616,0.3870967741935484,3,2,winter,
4.0,Medicina,Urgncia Central,8.73394495412844,0.13761467889908258,3,2,winter,15.0
4.0,Cirurgia,Urgncia Central,25.091954022988507,0.06896551724137931,4,2,winter,
4.0,Medicina,Urgncia Central,20.503703703703703,0.5925925925925926,4,2,winter,16.0
4.0,Medicina,Urgncia Central,69.10526315789474,0.05263157894736842,5,2,winter,17.0
4.0,Cirurgia,Urgncia Central,13.96875,0.0,5,2,winter,
4.0,Cirurgia,Urgncia Central,46.08695652173913,0.30434782608695654,6,2,winter,
4.0,Medicina,Urgncia Central,30.235294117647058,0.8529411764705882,6,2,winter,18.0
4.0,Medicina,Urgncia Central,14.146153846153846,0.3,0,2,winter,19.0
4.0,Cirurgia,Urgncia Central,33.264150943396224,0.05660377358490566,0,2,winter,
4.0,Cirurgia,Urgncia Central,41.70786516853933,0.33707865168539325,1,2,winter,
4.0,Medicina,Urgncia Central,14.642857142857142,0.21428571428571427,1,2,winter,20.0
4.0,Cirurgia,Urgncia Central,40.294117647058826,0.10294117647058823,2,2,winter,
4.0,Medicina,Urgncia Central,20.291666666666668,0.20833333333333334,2,2,winter,21.0
4.0,Medicina,Urgncia Central,13.920863309352518,0.43884892086330934,3,2,winter,22.0
4.0,Cirurgia,Urgncia Central,123.35443037974683,0.620253164556962,3,2,winter,
4.0,Cirurgia,Urgncia Central,53.0,0.1111111111111111,4,2,winter,
